review_time,team,date,merge_time
100,Application,44940,1000
100,Application,44941,1000
815,Application,44942,1597
2941,Application,44943,1008
51414,Application,44944,2091
55865,Application,44945,1225
100,Application,44946,1000
100,Application,44947,1000
100,Application,44948,1000
767,Application,44949,1022
117434,Application,44950,1426
85908,Application,44951,1986
102809,Application,44952,1534
46802,Application,44953,2047
100,Application,44954,1000
100,Application,44955,1000
86823,Application,44956,1172
1041,Application,44957,1828
100,Application,44958,1655
56459,Application,44959,1528
4234,Application,44960,1358
100,Data Service,44961,1000
100,Data Service,44962,1000
867,Data Service,44963,1679
1101,Data Service,44964,1622
7310,Data Service,44965,4061
82930,Data Service,44966,2095
32798,Data Service,44967,2200
100,Data Service,44968,1000
100,Data Service,44969,1000
83015,Data Service,44970,1596
144399,Data Service,44971,2076
100,Data Service,44940,1000
100,Data Service,44941,1000
839,Data Service,44942,1869
100,Data Service,44943,2347
100,Data Service,44944,3528
8632,Platform,44945,2133
2392,Platform,44946,1000
100,Platform,44947,1000
100,Platform,44948,1000
100,Platform,44949,1759
6316,Platform,44950,1444
4256,Platform,44951,2182
462,Platform,44952,1634
1012,Platform,44953,3113
100,Platform,44954,1000
100,Platform,44955,3338
5277,Architecture,44956,2455
5843,Architecture,44957,2624
4477,Architecture,44958,1588
532,Architecture,44959,2337
2399,Architecture,44960,1834
3038,Architecture,44961,1688
100,Architecture,44962,1000
100,Architecture,44963,1000
100,Architecture,44964,2430
1960,Architecture,44965,1342
1250,Architecture,44966,2095
2434,Architecture,44967,1237
31794,Architecture,44968,3025
299,Architecture,44969,1352
570,Architecture,44970,2863
162,Architecture,44971,1330
100,Architecture,44940,1000
100,Architecture,44941,1000
179,Architecture,44942,1132
100,Architecture,44943,1000
100,Architecture,44944,1000
62121,Architecture,44945,1072
100,Architecture,44946,1000
100,Architecture,44947,1000
100,Architecture,44948,1000
304,Architecture,44949,2395
2312,Architecture,44950,6698
1158,Architecture,44951,20940
177,Architecture,44952,1244
255969,Architecture,44953,1006
100,Architecture,44954,1000
100,Architecture,44955,1000
360,Architecture,44956,1070
118557,Architecture,44957,1041
480,Architecture,44958,2769
100,Architecture,44959,1000
100,Architecture,44960,1000
100,Architecture,44961,1000
100,Architecture,44962,1000
100,Architecture,44963,1000
100,Architecture,44964,1064
100,Architecture,44965,1601
100,Architecture,44966,1000
